Date,_VNI30,SET100
02/01/2013,491.34,2102.1
03/01/2013,498.31,2100.76
04/01/2013,498.31,2113.22
07/01/2013,525.36,2109.78
08/01/2013,531.52,2112.63
09/01/2013,545.8,2121.4
10/01/2013,545.72,2093.41
11/01/2013,545.72,2101.65
14/01/2013,542.73,2119.65
15/01/2013,546.34,2113.62
16/01/2013,537.75,2099.53
17/01/2013,534.97,2105.94
18/01/2013,534.97,2128.14
21/01/2013,521.19,2136.39
22/01/2013,521.92,2129.37
23/01/2013,532.11,2139.98
24/01/2013,547.31,2153.09
25/01/2013,547.31,2171.14
28/01/2013,569.6,2186.88
29/01/2013,572.76,2196.93
30/01/2013,564.01,2216.98
31/01/2013,566.09,2191.53
01/02/2013,566.09,2230.15
04/02/2013,556.83,2240.16
05/02/2013,570.03,2238.38
06/02/2013,571.59,2226.73
07/02/2013,574.18,2225.15
08/02/2013,574.18,2218.54
11/02/2013,574.18,2201.05
12/02/2013,574.18,2197.9
13/02/2013,574.18,2241.46
14/02/2013,574.18,2260.74
15/02/2013,574.18,2248.58
18/02/2013,570.22,2247.69
19/02/2013,572.38,2261.3
20/02/2013,550.42,2282.65
21/02/2013,551.33,2252.8
22/02/2013,551.33,2271.18
26/02/2013,535.86,2253.73
27/02/2013,545.68,2232.54
28/02/2013,547.7,2271.97
01/03/2013,547.7,2270.21
04/03/2013,528.29,2273.03
05/03/2013,539.08,2283.92
06/03/2013,533.69,2297.01
07/03/2013,540.01,2295.48
08/03/2013,540.01,2303.96
11/03/2013,550.22,2318.59
12/03/2013,547.63,2319.19
13/03/2013,542.94,2321.87
14/03/2013,546.15,2332.58
15/03/2013,553.33,2349.15
18/03/2013,548.72,2339.45
19/03/2013,547.22,2309.67
20/03/2013,551.15,2273.98
21/03/2013,559.39,2254.83
22/03/2013,554.84,2184.39
25/03/2013,561.81,2247.12
26/03/2013,557.17,2277.53
27/03/2013,554.83,2300.86
28/03/2013,551.92,2275.59
29/03/2013,552.28,2299.39
01/04/2013,566.98,2280.38
02/04/2013,573.5,2286.35
03/04/2013,569.33,2243.51
04/04/2013,564.39,2256.63
05/04/2013,570.2,2193.89
09/04/2013,575.93,2166.94
10/04/2013,558.37,2198.34
11/04/2013,565.76,2239.04
12/04/2013,557.77,2253.15
17/04/2013,543.99,2245.22
18/04/2013,532.44,2256.75
19/04/2013,532.44,2280.67
22/04/2013,527.63,2302.27
23/04/2013,532.24,2286.09
24/04/2013,531.69,2293.9
25/04/2013,537.23,2327.27
26/04/2013,537.37,2340.01
29/04/2013,537.37,2342.73
30/04/2013,537.37,2362.23
02/05/2013,536.25,2348.8
03/05/2013,539.33,2332.33
07/05/2013,549.57,2370.81
08/05/2013,549.74,2393.12
09/05/2013,552.53,2403.42
10/05/2013,551.81,2402.69
13/05/2013,554.38,2393.89
14/05/2013,548.27,2401.65
15/05/2013,551.81,2413.73
16/05/2013,556.01,2394.79
17/05/2013,553.51,2410.69
20/05/2013,558.79,2436.81
21/05/2013,566.46,2435.04
22/05/2013,567.79,2414.84
23/05/2013,561.79,2376.15
27/05/2013,574.82,2351.71
28/05/2013,577.4,2393.77
29/05/2013,579.33,2364.2
30/05/2013,584.7,2332.33
31/05/2013,581.95,2299.63
03/06/2013,580.89,2267.5
04/06/2013,574.95,2296.07
05/06/2013,577.28,2243.69
06/06/2013,582.92,2200.97
07/06/2013,588.21,2242.25
10/06/2013,584.11,2259.4
11/06/2013,581.15,2143.64
12/06/2013,575.39,2117.09
13/06/2013,571.79,2080.92
14/06/2013,562.97,2173.34
17/06/2013,552.73,2180.98
18/06/2013,552.87,2110.57
19/06/2013,556.73,2129.11
20/06/2013,555.01,2075.02
21/06/2013,553.57,2078.14
24/06/2013,546.56,2023.57
25/06/2013,530.46,2060.76
26/06/2013,529.88,2122.79
27/06/2013,539.89,2159.46
28/06/2013,538.54,2167.21
02/07/2013,544.98,2186.91
03/07/2013,543.95,2153.91
04/07/2013,543.66,2133.8
05/07/2013,543.38,2151.25
08/07/2013,539.92,2092.87
09/07/2013,541.53,2083.99
10/07/2013,538.97,2073.84
11/07/2013,539.51,2168.9
12/07/2013,548.27,2177
15/07/2013,548.6,2176.68
16/07/2013,549.75,2169.62
17/07/2013,551.38,2180.38
18/07/2013,550.67,2225.2
19/07/2013,556.56,2214.95
23/07/2013,556.79,2265.48
24/07/2013,548.24,2244.73
25/07/2013,544.15,2174.18
26/07/2013,544.88,2207.59
29/07/2013,537.42,2170.57
30/07/2013,541.78,2139.84
31/07/2013,542.52,2122.9
01/08/2013,543.56,2147.73
02/08/2013,545.59,2123.31
05/08/2013,546.18,2129.24
06/08/2013,549.45,2137.83
07/08/2013,553.29,2137.4
08/08/2013,550.07,2164.91
09/08/2013,552.27,2138.28
13/08/2013,550.36,2182.41
14/08/2013,554.34,2187.27
15/08/2013,559.07,2175.27
16/08/2013,559.16,2162.95
19/08/2013,561.62,2088.73
20/08/2013,557.52,2049.53
21/08/2013,555.93,2022.38
22/08/2013,549.54,2021.84
23/08/2013,542.08,1998.7
26/08/2013,543.38,1985.83
27/08/2013,539.97,1937.48
28/08/2013,528.62,1911.71
29/08/2013,523.51,1937.66
30/08/2013,531.23,1936.33
02/09/2013,531.23,1982.74
03/09/2013,527.92,1970.57
04/09/2013,525.66,1950.62
05/09/2013,531.71,1968.32
06/09/2013,534.8,2004.89
09/09/2013,524.17,2085.67
10/09/2013,530.19,2099.72
11/09/2013,531.91,2128.37
12/09/2013,531.17,2102.62
13/09/2013,531.21,2105.58
16/09/2013,531.21,2176.59
17/09/2013,531.21,2174.39
18/09/2013,531.21,2163.38
19/09/2013,531.21,2244.11
20/09/2013,537.57,2240.06
23/09/2013,540.25,2161.9
24/09/2013,543.23,2131.25
25/09/2013,545.83,2163.16
26/09/2013,545.83,2141.63
