Date,VN30_Closeprice,VN30_Open,Set100_ClosePrice,Set100_Open
"Dec 31, 2020",1070.77,1059.16,NA,NA
"Dec 30, 2020",1059.16,1059.20,2037.03,2074.17
"Dec 29, 2020",1058.39,1054.23,2066.08,2037.11
"Dec 28, 2020",1054.23,1053.37,2026.21,2072.44
"Dec 25, 2020",1052.13,1033.86,2056.64,2047.57
"Dec 24, 2020",1033.95,1045.97,2036.57,2007.22
"Dec 23, 2020",1045.70,1053.89,2000.37,2020.02
"Dec 22, 2020",1052.23,1051.17,2023.51,1997.32
"Dec 21, 2020",1049.71,1038.00,1992.04,2036.55
"Dec 18, 2020",1036.65,1016.95,2116.85,2121.44
"Dec 17, 2020",1016.95,1028.63,2120.24,2128.61
"Dec 16, 2020",1029.72,1013.66,2121.15,2130.09
"Dec 15, 2020",1013.02,1024.40,2114.59,2097.63
"Dec 14, 2020",1024.28,1008.86,2111.04,2140.56
"Dec 11, 2020",1008.65,994.34,NA,NA
"Dec 10, 2020",994.28,1004.42,NA,NA
"Dec 09, 2020",1004.03,993.61,2131.90,2144.31
"Dec 08, 2020",993.61,992.01,2129.41,2089.82
"Dec 07, 2020",992.01,984.25,NA,NA
"Dec 04, 2020",984.34,985.91,2094.34,2077.41
"Dec 03, 2020",985.44,980.17,2076.01,2055.64
"Dec 02, 2020",979.95,976.27,2045.74,2041.46
"Dec 01, 2020",976.35,963.57,2050.63,2044.07
"Nov 30, 2020",965.89,971.39,2028.65,2061.40
"Nov 27, 2020",971.11,964.32,2078.38,2070.07
"Nov 26, 2020",964.16,960.29,2076.01,2063.16
"Nov 25, 2020",960.63,959.68,2054.83,2056.58
"Nov 24, 2020",959.61,959.99,2030.61,2078.14
"Nov 23, 2020",960.03,950.98,2062.78,2025.43
"Nov 20, 2020",950.89,944.85,2013.16,1979.88
"Nov 19, 2020",944.92,938.60,1981.06,1974.06
"Nov 18, 2020",937.67,935.24,1977.56,1944.43
"Nov 17, 2020",934.65,916.25,1952.02,1964.58
