Date,BSET100,VNM
3/1/2018,11.15,17.937489
4/1/2018,11.24,18.14333
5/1/2018,11.25,18.123724
8/1/2018,11.19,18.398178
9/1/2018,11.23,18.437386
10/1/2018,11.21,18.055111
11/1/2018,11.27,18.604015
12/1/2018,11.33,18.72164
15/1/2018,11.43,NA
16/1/2018,11.42,18.731443
17/1/2018,11.45,18.55501
18/1/2018,11.38,18.358971
19/1/2018,11.38,18.564812
22/1/2018,11.41,19.025501
23/1/2018,11.46,19.221539
24/1/2018,11.5,18.996096
25/1/2018,11.36,19.192131
26/1/2018,11.44,19.486187
29/1/2018,11.48,19.339161
30/1/2018,11.42,18.888271
31/1/2018,11.41,19.280348
1/2/2018,11.46,19.103914
2/2/2018,11.42,18.192337
5/2/2018,11.28,17.172939
6/2/2018,11.15,17.68264
7/2/2018,11.14,17.261158
8/2/2018,11.14,16.741657
9/2/2018,11.12,16.937695
12/2/2018,11.19,17.202347
13/2/2018,11.21,17.594423
14/2/2018,11.16,18.241348
15/2/2018,11.21,18.574612
16/2/2018,11.26,18.525602
19/2/2018,11.28,NA
20/2/2018,11.23,18.505999
21/2/2018,11.24,18.270754
22/2/2018,11.2,18.378574
23/2/2018,11.32,18.741245
26/2/2018,11.53,18.858866
27/2/2018,11.53,18.368771
28/2/2018,11.52,18.309959
2/3/2018,11.4,18.123724
5/3/2018,11.37,18.280554
6/3/2018,11.34,18.290356
7/3/2018,11.22,18.192337
8/3/2018,11.21,18.437386
9/3/2018,11.22,18.623623
12/3/2018,11.39,18.525602
13/3/2018,11.45,18.613821
14/3/2018,11.47,18.643227
15/3/2018,11.48,18.456987
16/3/2018,11.44,18.692234
19/3/2018,11.36,18.780451
20/3/2018,11.36,18.996096
21/3/2018,11.35,19.299953
22/3/2018,11.34,18.741245
23/3/2018,11.33,18.241348
26/3/2018,11.39,19.143124
27/3/2018,11.4,18.86867
28/3/2018,11.3,19.054907
29/3/2018,11.17,19.172529
30/3/2018,11.23,NA
2/4/2018,11.28,19.143124
3/4/2018,11.17,19.84886
4/4/2018,10.91,19.986088
